PROD_ID,PROD_NAME,PRICE_RAW,STOCK_QTY,IMPORT_DATE,STATUS,NOTE
1001,Op lung Samsung 1,1044661,126,2023-6-14,Unknown,
1002,May tinh bang Nokia 2,7721401,5,2023-1-23,Unknown,
1003,Op lung Apple 3,8341641,335,2023-8-4,Refurbished,
1004,Sac du phong Samsung 4,6746330,276,2023-12-9,Old,
1005,May tinh bang Samsung 5,2410123,429,2023-6-20,New,
1006,May tinh bang Xiaomi 6,2486695,315,2023-8-21,Refurbished,
1007,May tinh bang Nokia 7,5655394,246,2023-7-15,Old,
1008,Sac du phong Sony 8,1592153,179,2023-1-21,Old,
1009,Dien thoai Nokia 9,6520660,301,2023-6-1,Old,
1009,May tinh bang Xiaomi 10,3597765,359,2023-8-4,Refurbished,ERR_DUP_ID
1011,Tai nghe Oppo 11,5810655,343,2023-12-14,Old,
1012,Op lung Nokia 12,4711648,283,2023-4-15,New,
1013,Op lung Samsung 13,6021893,196,2023-2-3,Refurbished,
1014,Tai nghe Samsung 14,4656235,451,2023-4-5,New,
1015,Tai nghe Xiaomi 15,8104082,422,2023-2-22,Old,
1016,Tai nghe Oppo 16,2314140,93,2023-9-28,Unknown,
1017,Sac du phong Xiaomi 17,6404556,363,2023-7-4,Unknown,
1018,May tinh bang Xiaomi 18,3728776,8,13/20/2023,Old,ERR_DATE
1019,Op lung LG 19,278337,112,2023-1-17,Old,
1020,Dien thoai Apple 20,1324642,75,2023-1-27,New,
1021,Sac du phong LG 21,998189,257,2023-3-28,Refurbished,
1022,May tinh bang Oppo 22,782697,74,2023-5-15,Refurbished,
1023,Dien thoai Apple 23,5389783,77,2023-4-12,New,
1024,Dien thoai LG 24,8359088,108,2023-4-5,Unknown,
1025,Dien thoai Nokia 25,5764330,Out of Stock,2023-4-4,New,ERR_STOCK
1026,Op lung Apple 26,2593362,378,2023-10-12,New,
1027,Op lung LG 27,4054075,46,2023-1-7,Old,
1028,May tinh bang Apple 28,8725.896k,9,2023-7-22,Old,ERR_PRICE
1029,Sac du phong Apple 29,5946725,215,2023-6-20,Old,
1030,Tai nghe LG 30,9092215,Out of Stock,2023-11-20,New,ERR_STOCK
1031,Op lung Oppo 31,2831100,241,2023-6-9,Refurbished,
1032,May tinh bang Sony 32,8034271,490,2023-10-19,Old,
1033,Tai nghe Xiaomi 33,8738084,372,2023-12-7,Unknown,
1034,Dien thoai Nokia 34,3199833,81,2023-1-28,Refurbished,
1035,Op lung LG 35,4627343,453,2023-3-20,Unknown,
1036,Dien thoai Sony 36,6989272,Out of Stock,2023-5-27,Old,ERR_STOCK
1037,Sac du phong Oppo 37,2585285,131,2023-10-7,Old,
1038,May tinh bang Samsung 38,6132555,161,2023-10-17,Refurbished,
1039,#N/A Error,8100712,409,2023-9-18,Old,
1040,Op lung LG 40,3774433,448,2023-8-19,New,
1041,Op lung Sony 41,463690,1,2023-3-13,New,
1042,Dien thoai Xiaomi 42,8250535,477,2023-6-11,Refurbished,
1043,Dien thoai Oppo 43,6778034,147,2023-12-11,New,
1044,Dien thoai Samsung 44,870841,90,2023-4-21,New,
1045,Tai nghe Sony 45,2367.386k,224,2023-3-4,New,ERR_PRICE
1046,Op lung Nokia 46,3803894,364,2023-12-4,Refurbished,
1047,Tai nghe Apple 47,2934728,187,2023-4-23,Refurbished,
1048,Tai nghe Samsung 48,6664095,399,2023-3-14,Old,
1049,#N/A Error,8966844,444,2023-8-2,Old,
1050,Op lung Apple 50,1237482,378,2023-2-9,Unknown,
1051,Dien thoai Nokia 51,8992651,226,2023-8-5,Unknown,
1052,Sac du phong Sony 52,630215,139,2023-12-21,Unknown,
1053,Op lung LG 53,5251530,475,13/20/2023,New,ERR_DATE
1054,Op lung Samsung 54,7037587,316,2023-1-27,Old,
1054,Op lung Oppo 55,1006572,179,2023-8-6,New,ERR_DUP_ID
