id,order_id,variant_id,quantity,price_at_purchase
1,10551,8681,1,100000.00
2,11141,8175,1,100000.00
3,2985,8144,1,100000.00
4,6254,7515,1,100000.00
5,3627,4106,1,100000.00
6,3309,4220,1,100000.00
7,14480,9745,1,100000.00
8,4352,2154,1,100000.00
9,9611,5019,1,100000.00
10,8633,674,1,100000.00
11,379,8567,1,100000.00
12,1881,2482,1,100000.00
13,11032,5926,1,100000.00
14,8177,2915,1,100000.00
15,5170,2292,1,100000.00
16,12089,8579,1,100000.00
17,14410,7921,1,100000.00
18,873,7087,1,100000.00
19,10552,6449,1,100000.00
20,12164,10554,1,100000.00
21,9370,2172,1,100000.00
22,5117,6524,1,100000.00
23,6942,3378,1,100000.00
24,13426,8089,1,100000.00
25,13990,2143,1,100000.00
26,8965,3660,1,100000.00
27,5227,4215,1,100000.00
28,3850,11440,1,100000.00
29,7717,5326,1,100000.00
30,3762,8300,1,100000.00
31,2462,8022,1,100000.00
32,7717,4249,1,100000.00
33,9110,7862,1,100000.00
34,4591,3793,1,100000.00
35,633,1188,1,100000.00
36,529,5557,1,100000.00
37,13677,3839,1,100000.00
38,4120,11226,1,100000.00
39,4296,3083,1,100000.00
40,12923,1138,1,100000.00
41,6950,9481,1,100000.00
42,14501,11571,1,100000.00
43,7431,11890,1,100000.00
44,2923,9446,1,100000.00
45,7455,3505,1,100000.00
46,13000,749,1,100000.00
47,8992,2106,1,100000.00
48,4675,5330,1,100000.00
49,11082,6635,1,100000.00
50,3786,2057,1,100000.00
51,1866,6621,1,100000.00
52,2456,1793,1,100000.00
53,760,3750,1,100000.00
54,11978,5996,1,100000.00
55,8698,1807,1,100000.00
56,10151,744,1,100000.00
57,12222,3853,1,100000.00
58,13005,3017,1,100000.00
59,11053,8191,1,100000.00
60,7872,1445,1,100000.00
61,2595,2178,1,100000.00
62,5454,5692,1,100000.00
63,6787,11700,1,100000.00
64,9374,5602,1,100000.00
65,928,1379,1,100000.00
66,7535,9483,1,100000.00
67,12582,8081,1,100000.00
68,525,2546,1,100000.00
69,6134,807,1,100000.00
70,12030,485,1,100000.00
71,824,2835,1,100000.00
72,13842,10992,1,100000.00
73,8491,9855,1,100000.00
74,14825,4708,1,100000.00
75,12752,1743,1,100000.00
76,13014,2372,1,100000.00
77,4733,4823,1,100000.00
78,10385,8076,1,100000.00
79,10493,3927,1,100000.00
80,12171,10335,1,100000.00
81,7284,5108,1,100000.00
82,9850,10379,1,100000.00
83,7344,1299,1,100000.00
84,2413,10235,1,100000.00
85,6756,5109,1,100000.00
86,2553,2681,1,100000.00
87,12686,778,1,100000.00
88,3001,2717,1,100000.00
89,4704,2963,1,100000.00
90,11860,9239,1,100000.00
91,6756,120,1,100000.00
92,13632,11317,1,100000.00
93,12080,11075,1,100000.00
94,3533,3633,1,100000.00
95,5745,503,1,100000.00
96,13981,2043,1,100000.00
97,13915,4976,1,100000.00
98,8551,3742,1,100000.00
99,11342,5368,1,100000.00
100,13162,8689,1,100000.00
101,12965,5219,1,100000.00
102,12119,1308,1,100000.00
103,264,296,1,100000.00
104,12407,11365,1,100000.00
105,1170,125,1,100000.00
106,13147,3606,1,100000.00
107,7117,3758,1,100000.00
108,2035,8845,1,100000.00
109,9144,4729,1,100000.00
110,13678,11456,1,100000.00
111,5290,2889,1,100000.00
112,13296,4778,1,100000.00
113,5393,8588,1,100000.00
114,12074,7351,1,100000.00
115,8259,2899,1,100000.00
116,9538,2184,1,100000.00
117,1358,5703,1,100000.00
118,13627,11971,1,100000.00
119,11683,6370,1,100000.00
120,13232,10522,1,100000.00
121,5684,11185,1,100000.00
122,1050,630,1,100000.00
123,430,6948,1,100000.00
124,14305,11135,1,100000.00
125,7714,8206,1,100000.00
