id,user_id,total_amount,created_at,note
1,9835,260000.00,2026-01-23 15:36:25.0,
2,7103,420000.00,2026-01-23 15:36:25.0,
3,5238,400000.00,2026-01-23 15:36:25.0,
4,3651,10000.00,2026-01-23 15:36:00.0,Format Cu (23/01/2026 15:36) -> Fix: Chuan SQL
5,5515,110000.00,2026-01-23 15:36:25.0,
6,8545,220000.00,2026-01-23 15:36:25.0,
7,1056,400000.00,2026-01-23 15:36:00.0,Format Cu (23/01/2026 15:36) -> Fix: Chuan SQL
8,8357,410000.00,2026-01-23 15:36:25.0,
9,6663,360000.00,2026-01-23 15:36:25.0,
10,644,50000.00,2026-01-23 15:36:25.0,
11,441,290000.00,2026-01-23 15:36:25.0,
12,7613,20000.00,2026-01-23 15:36:25.0,
13,8363,130000.00,2026-01-23 15:36:25.0,
14,1018,50000.00,2026-01-23 15:36:25.0,
15,3338,140000.00,2026-01-23 15:36:25.0,
16,8029,210000.00,2026-01-23 15:36:25.0,
17,2400,240000.00,2026-01-23 15:36:25.0,
18,1621,10000.00,2026-01-23 15:36:25.0,
19,4702,370000.00,2026-01-23 15:36:25.0,
20,8568,130000.00,2026-01-23 15:36:25.0,
21,7810,210000.00,2026-01-23 15:36:00.0,Format Cu (23/01/2026 15:36) -> Fix: Chuan SQL
22,2616,360000.00,2026-01-23 15:36:25.0,
23,3536,480000.00,2026-01-23 15:36:25.0,
24,3040,170000.00,2026-01-23 15:36:25.0,
25,8186,390000.00,2026-01-23 15:36:25.0,
26,9078,350000.00,2026-01-23 15:36:25.0,
27,4298,370000.00,2026-01-23 15:36:25.0,
28,4728,140000.00,2026-01-23 15:36:25.0,
29,948,160000.00,2026-01-23 15:36:25.0,
30,3921,470000.00,2026-01-23 15:36:25.0,
31,5031,170000.00,2026-01-23 15:36:25.0,
32,5875,330000.00,2026-01-23 15:36:25.0,
33,442,70000.00,2026-01-23 15:36:25.0,
34,1531,430000.00,2026-01-23 15:36:25.0,
35,4769,70000.00,2026-01-23 15:36:25.0,
36,8209,90000.00,2026-01-23 15:36:25.0,
37,822,420000.00,2026-01-23 15:36:25.0,
38,2727,450000.00,2026-01-23 15:36:25.0,
39,2882,490000.00,2026-01-23 15:36:25.0,
40,8951,270000.00,2026-01-23 15:36:25.0,
41,660,440000.00,2026-01-23 15:36:00.0,Format Cu (23/01/2026 15:36) -> Fix: Chuan SQL
42,9368,310000.00,2026-01-23 15:36:00.0,Format Cu (23/01/2026 15:36) -> Fix: Chuan SQL
43,8389,430000.00,2026-01-23 15:36:25.0,
44,4743,390000.00,2026-01-23 15:36:25.0,
45,5276,400000.00,2026-01-23 15:36:25.0,
46,3503,480000.00,2026-01-23 15:36:25.0,
47,3589,260000.00,2026-01-23 15:36:25.0,
48,3683,410000.00,2026-01-23 15:36:25.0,
49,2346,470000.00,2026-01-23 15:36:25.0,
50,529,250000.00,2026-01-23 15:36:25.0,
