id,product_id,color,size,stock,price,note
1,198,Den,M,38,190000.00,
2,4250,Hong,29,43,330000.00,
3,1529,Xam,L,9,20000.00,
4,4312,Xam,256GB,0,940000.00,Loi Stock -> Fix: 0
5,2328,Den,S,39,110000.00,
6,3161,Xam,31,42,490000.00,
7,965,Xam,128GB,22,870000.00,
8,774,Hong,XL,2,100000.00,
9,4272,Hong,31,21,160000.00,
10,931,Den,256GB,5,130000.00,
11,4784,Vang,XL,47,690000.00,
12,681,Hong,XL,34,310000.00,
13,355,Do,M,3,50000.00,
14,3924,Vang,31,32,850000.00,
15,802,Vang,M,12,680000.00,
16,4923,Vang,S,35,690000.00,
17,1301,Den,128GB,42,520000.00,
18,805,Vang,XL,42,180000.00,
19,2699,Xanh,L,44,670000.00,
20,335,Xanh,31,14,840000.00,
21,4174,Den,32,0,940000.00,
22,20,Xanh,29,0,610000.00,Loi Stock -> Fix: 0
23,246,Xam,L,33,860000.00,
24,956,Do,29,17,730000.00,
25,4960,Hong,256GB,2,340000.00,
26,4298,Do,M,0,310000.00,Loi Stock -> Fix: 0
27,3520,Hong,L,1,850000.00,
28,943,Trang,S,9,660000.00,
29,2554,Bac,M,43,960000.00,
30,363,Do,XL,23,910000.00,
31,3525,Xanh,29,7,50000.00, | Loi Gia -> Fix
32,361,Vang,30,10,260000.00,
33,961,Hong,M,18,520000.00,
34,1067,Vang,32,39,570000.00,
35,3676,Vang,32,29,50000.00, | Loi Gia -> Fix
36,4363,Do,31,7,960000.00,
37,1809,Hong,256GB,12,580000.00,
38,3103,Do,XL,7,270000.00,
39,2577,Do,XL,43,990000.00,
40,1573,Vang,M,12,950000.00,
41,2946,Den,M,47,60000.00,
42,336,Xanh,M,22,580000.00,
43,1403,Den,M,19,550000.00,
44,3102,Bac,30,17,510000.00,
45,42,Do,128GB,21,960000.00,
46,2399,Hong,30,19,400000.00,
47,1697,Xanh,256GB,27,430000.00,
48,1883,Den,32,9,540000.00,
49,3483,Bac,L,26,810000.00,
50,4894,Den,32,35,670000.00,
51,5,Do,30,20,720000.00,
52,887,Xam,128GB,22,600000.00,
53,476,Do,29,0,260000.00,Loi Stock -> Fix: 0
54,4148,Trang,S,17,920000.00,
55,4837,Hong,M,8,400000.00,
56,1778,Do,M,31,580000.00,
57,443,Xam,L,0,830000.00,Loi Stock -> Fix: 0
58,241,Den,32,47,430000.00,
59,3963,Vang,256GB,26,580000.00,
60,832,Vang,M,9,160000.00,
61,1694,Bac,XL,4,320000.00,
62,2689,Vang,128GB,10,420000.00,
63,4430,Vang,256GB,27,230000.00,
64,3497,Do,128GB,15,170000.00,
65,2109,Xanh,31,33,870000.00,
66,2485,Trang,30,36,790000.00,
67,4016,Trang,30,4,230000.00,
68,2068,Trang,256GB,28,870000.00,
69,3393,Vang,32,4,300000.00,
70,2419,Bac,128GB,20,280000.00,
71,1285,Xanh,L,18,10000.00,
72,3640,Trang,29,46,650000.00,
73,1884,Xanh,31,3,440000.00,
74,2772,Do,M,16,890000.00,
75,4218,Vang,XL,43,540000.00,
76,4261,Xanh,256GB,29,1000000.00,
77,3200,Den,128GB,30,210000.00,
78,1950,Bac,S,0,990000.00,Loi Stock -> Fix: 0
79,3486,Vang,L,16,590000.00,
80,625,Do,128GB,43,400000.00,
81,4365,Hong,L,20,620000.00,
82,823,Do,29,29,210000.00,
83,46,Hong,M,47,440000.00,
84,3822,Den,32,18,50000.00,
85,3139,Hong,128GB,5,400000.00,
86,3705,Trang,29,30,630000.00,
87,1967,Hong,M,5,920000.00,
88,2659,Den,L,39,1000000.00,
89,446,Den,256GB,40,130000.00,
90,151,Do,30,45,20000.00,
91,1149,Do,256GB,16,50000.00, | Loi Gia -> Fix
92,4202,Hong,29,0,80000.00,
93,1356,Xam,L,50,70000.00,
94,795,Den,31,0,480000.00,Loi Stock -> Fix: 0
95,2178,Do,XL,39,50000.00, | Loi Gia -> Fix
96,1396,Xam,31,49,810000.00,
97,1619,Hong,S,11,150000.00,
98,959,Xam,128GB,49,380000.00,
99,4551,Bac,31,29,50000.00, | Loi Gia -> Fix
100,4898,Den,XL,42,760000.00,
101,3291,Hong,30,16,80000.00,
102,153,Vang,XL,35,670000.00,
103,4896,Xam,30,0,800000.00,Loi Stock -> Fix: 0
104,3458,Bac,29,25,370000.00,
105,665,Den,31,38,530000.00,
106,792,Vang,M,17,730000.00,
107,4167,Den,128GB,20,50000.00, | Loi Gia -> Fix
108,3918,Do,256GB,45,550000.00,
109,2502,Do,S,47,730000.00,
110,4675,Xam,M,8,390000.00,
111,2446,Bac,128GB,0,740000.00,Loi Stock -> Fix: 0
112,3408,Do,S,11,410000.00,
113,744,Bac,M,8,680000.00,
114,4152,Trang,256GB,26,50000.00, | Loi Gia -> Fix
115,324,Xanh,S,46,810000.00,
116,4551,Hong,XL,48,890000.00,
117,122,Xam,XL,24,820000.00,
118,1025,Xanh,128GB,37,250000.00,
119,4658,Do,XL,9,410000.00,
120,32,Hong,L,46,530000.00,
121,3980,Xanh,L,27,320000.00,
122,1258,Bac,31,42,710000.00,
123,354,Trang,30,17,980000.00,
124,2834,Xam,30,15,320000.00,
125,3859,Xanh,30,2,50000.00, | Loi Gia -> Fix
126,1047,Xanh,30,42,670000.00,
127,3220,Trang,L,0,310000.00,Loi Stock -> Fix: 0
128,1214,Vang,30,26,50000.00, | Loi Gia -> Fix
129,461,Do,256GB,3,120000.00,
130,1546,Do,31,14,50000.00,
131,4974,Den,31,20,50000.00, | Loi Gia -> Fix
132,259,Vang,256GB,27,730000.00,
133,4571,Trang,L,12,910000.00,
134,778,Xanh,XL,7,480000.00,
135,4580,Hong,31,12,660000.00,
136,1906,Trang,30,38,220000.00,
137,3652,Do,S,44,80000.00,
138,1932,Den,256GB,38,240000.00,
139,2635,Vang,30,25,530000.00,
140,1729,Xam,29,49,980000.00,
141,739,Xam,M,12,700000.00,
142,2526,Xanh,31,4,950000.00,
143,3886,Xanh,XL,1,750000.00,
144,1914,Trang,256GB,5,130000.00,
145,901,Do,XL,39,800000.00,
146,2623,Xanh,XL,24,80000.00,
147,4001,Xanh,256GB,5,940000.00,
148,3599,Den,29,22,20000.00,
149,1078,Xam,S,10,290000.00,
150,3540,Vang,29,45,200000.00,
151,3411,Do,L,48,40000.00,
152,748,Bac,256GB,13,280000.00,
153,1836,Xanh,XL,30,360000.00,
154,2684,Xanh,L,31,970000.00,
155,3014,Hong,M,35,910000.00,
156,3904,Xam,S,32,640000.00,
157,4007,Xam,256GB,29,50000.00, | Loi Gia -> Fix
158,2503,Xanh,30,35,310000.00,
159,2157,Xanh,31,9,540000.00,
160,636,Hong,29,18,210000.00,
161,4237,Bac,S,50,230000.00,
162,3021,Xam,31,35,940000.00,
163,483,Xam,S,48,490000.00,
164,699,Hong,256GB,40,60000.00,
165,4213,Den,S,28,620000.00,
166,737,Den,32,10,30000.00,
167,2190,Xam,L,18,710000.00,
168,2951,Do,256GB,33,550000.00,
169,2735,Xanh,S,17,50000.00, | Loi Gia -> Fix
170,18,Xanh,128GB,13,660000.00,
171,4540,Bac,L,4,700000.00,
172,1899,Xanh,29,5,720000.00,
173,1153,Xanh,29,11,530000.00,
174,3235,Den,M,3,820000.00,
175,3695,Xam,S,14,250000.00,
176,1962,Den,XL,50,600000.00,
177,4507,Hong,L,44,600000.00,
178,1428,Vang,L,15,630000.00,
179,1016,Trang,L,33,890000.00,
180,4572,Xanh,M,50,930000.00,
181,1412,Do,M,0,610000.00,Loi Stock -> Fix: 0
182,4803,Vang,256GB,45,450000.00,
183,501,Bac,XL,12,680000.00,
184,1645,Xanh,30,2,400000.00,
185,3100,Hong,M,48,50000.00,
186,273,Bac,31,12,50000.00, | Loi Gia -> Fix
187,2634,Trang,32,44,50000.00, | Loi Gia -> Fix
188,1371,Hong,L,23,50000.00, | Loi Gia -> Fix
189,2376,Xanh,256GB,24,320000.00,
190,763,Hong,30,34,560000.00,
191,4832,Den,S,32,690000.00,
192,3932,Hong,S,50,640000.00,
193,1551,Den,30,1,670000.00,
194,2285,Trang,128GB,18,370000.00,
195,2348,Xam,30,37,340000.00,
196,1260,Vang,30,24,840000.00,
197,899,Xanh,32,19,80000.00,
198,1765,Trang,L,16,740000.00,
199,1017,Trang,32,28,350000.00,
200,4048,Bac,128GB,43,500000.00,
201,2499,Hong,31,1,980000.00,
202,2753,Den,30,33,220000.00,
203,2401,Xanh,30,23,220000.00,
204,3003,Bac,30,39,780000.00,
205,640,Hong,32,17,130000.00,
206,3935,Vang,128GB,33,120000.00,
207,1184,Xam,128GB,28,50000.00, | Loi Gia -> Fix
