id,shop_id,name,description
1,119,Laptop Nike Gia re - Ma 1,Mo ta chi tiet cho san pham Laptop Nike Gia re - Ma 1
2,168,Giay Sneaker Gucci Giam gia soc - Ma 2,Mo ta chi tiet cho san pham Giay Sneaker Gucci Giam gia soc - Ma 2
3,93,Dong ho Dell Cao cap - Ma 3,Mo ta chi tiet cho san pham Dong ho Dell Cao cap - Ma 3
4,58,Laptop Dell Cao cap - Ma 4,Mo ta chi tiet cho san pham Laptop Dell Cao cap - Ma 4
5,36,Giay Sneaker Sony Giam gia soc - Ma 5,Mo ta chi tiet cho san pham Giay Sneaker Sony Giam gia soc - Ma 5
6,61,Kem chong nang iPhone Limited Edition - Ma 6,Mo ta chi tiet cho san pham Kem chong nang iPhone Limited Edition - Ma 6
7,150,Dong ho Casio Limited Edition - Ma 7,Mo ta chi tiet cho san pham Dong ho Casio Limited Edition - Ma 7
8,97,Kem chong nang Zara Limited Edition - Ma 8,Mo ta chi tiet cho san pham Kem chong nang Zara Limited Edition - Ma 8
9,129,Ao thun Asus Xach tay - Ma 9,Mo ta chi tiet cho san pham Ao thun Asus Xach tay - Ma 9
10,160,Tai nghe JBL Moi 100% - Ma 10,Mo ta chi tiet cho san pham Tai nghe JBL Moi 100% - Ma 10
11,197,Son moi Casio Giam gia soc - Ma 11,Mo ta chi tiet cho san pham Son moi Casio Giam gia soc - Ma 11
12,105,Tai nghe Oppo Fullbox - Ma 12,Mo ta chi tiet cho san pham Tai nghe Oppo Fullbox - Ma 12
13,84,Dong ho Oppo Sieu ben - Ma 13,Mo ta chi tiet cho san pham Dong ho Oppo Sieu ben - Ma 13
14,65,Son moi Macbook Giam gia soc - Ma 14,Mo ta chi tiet cho san pham Son moi Macbook Giam gia soc - Ma 14
15,34,Kem chong nang Coolmate Gia re - Ma 15,Mo ta chi tiet cho san pham Kem chong nang Coolmate Gia re - Ma 15
16,1,Tai nghe JBL Limited Edition - Ma 16,Mo ta chi tiet cho san pham Tai nghe JBL Limited Edition - Ma 16
17,149,Tai nghe Macbook Cao cap - Ma 17,Mo ta chi tiet cho san pham Tai nghe Macbook Cao cap - Ma 17
18,37,Kem chong nang Zara Limited Edition - Ma 18,Mo ta chi tiet cho san pham Kem chong nang Zara Limited Edition - Ma 18
19,148,Quan Jean Rolex Chinh hang - Ma 19,Mo ta chi tiet cho san pham Quan Jean Rolex Chinh hang - Ma 19
20,129,Laptop Rolex Xach tay - Ma 20,Mo ta chi tiet cho san pham Laptop Rolex Xach tay - Ma 20
21,65,Ao thun Adidas Chinh hang - Ma 21,Mo ta chi tiet cho san pham Ao thun Adidas Chinh hang - Ma 21
22,132,Quan Jean Macbook Chinh hang - Ma 22,Mo ta chi tiet cho san pham Quan Jean Macbook Chinh hang - Ma 22
23,81,Dien thoai Dell Cao cap - Ma 23,Mo ta chi tiet cho san pham Dien thoai Dell Cao cap - Ma 23
24,70,Dong ho Asus Moi 100% - Ma 24,Mo ta chi tiet cho san pham Dong ho Asus Moi 100% - Ma 24
25,104,Dong ho iPhone Limited Edition - Ma 25,Mo ta chi tiet cho san pham Dong ho iPhone Limited Edition - Ma 25
26,147,Dien thoai Coolmate Fullbox - Ma 26,Mo ta chi tiet cho san pham Dien thoai Coolmate Fullbox - Ma 26
27,70,Ao thun Rolex Cao cap - Ma 27,Mo ta chi tiet cho san pham Ao thun Rolex Cao cap - Ma 27
28,135,Tai nghe Adidas Sieu ben - Ma 28,Mo ta chi tiet cho san pham Tai nghe Adidas Sieu ben - Ma 28
29,199,Dien thoai iPhone Limited Edition - Ma 29,Mo ta chi tiet cho san pham Dien thoai iPhone Limited Edition - Ma 29
30,9,Dong ho Macbook Moi 100% - Ma 30,Mo ta chi tiet cho san pham Dong ho Macbook Moi 100% - Ma 30
31,4,Giay Sneaker Xiaomi Gia re - Ma 31,Mo ta chi tiet cho san pham Giay Sneaker Xiaomi Gia re - Ma 31
32,58,Kem chong nang Coolmate Xach tay - Ma 32,Mo ta chi tiet cho san pham Kem chong nang Coolmate Xach tay - Ma 32
33,52,Son moi Xiaomi Fullbox - Ma 33,Mo ta chi tiet cho san pham Son moi Xiaomi Fullbox - Ma 33
34,173,Laptop Coolmate Limited Edition - Ma 34,Mo ta chi tiet cho san pham Laptop Coolmate Limited Edition - Ma 34
35,24,Quan Jean Zara Giam gia soc - Ma 35,Mo ta chi tiet cho san pham Quan Jean Zara Giam gia soc - Ma 35
36,46,Kem chong nang Nike Xach tay - Ma 36,Mo ta chi tiet cho san pham Kem chong nang Nike Xach tay - Ma 36
37,96,Quan Jean Casio Sieu ben - Ma 37,Mo ta chi tiet cho san pham Quan Jean Casio Sieu ben - Ma 37
38,117,Kem chong nang Samsung Moi 100% - Ma 38,Mo ta chi tiet cho san pham Kem chong nang Samsung Moi 100% - Ma 38
39,192,Ao thun Sony Xach tay - Ma 39,Mo ta chi tiet cho san pham Ao thun Sony Xach tay - Ma 39
40,26,Tai nghe Adidas Limited Edition - Ma 40,Mo ta chi tiet cho san pham Tai nghe Adidas Limited Edition - Ma 40
41,15,Quan Jean Sony Xach tay - Ma 41,Mo ta chi tiet cho san pham Quan Jean Sony Xach tay - Ma 41
42,24,Laptop Nike Fullbox - Ma 42,Mo ta chi tiet cho san pham Laptop Nike Fullbox - Ma 42
